FSC111,Introductory Biology,,3,
FSC112,Introductory Chemstry I,,3,
FSC113,Introductory Computer Science,,3,
FSC114,Introductory Mathematics,,3,
FSC115,Introductory Physics I,,2,
FSC311,History and Philosophy of Science,,2,
GST102,Culture and Civilization,,2,
GST105,Use of English I,,2,
GST103,Nigerian People & Culture,,2,
GST201,General African Studies,,2,
GST307,Enterpreneur & Corporate Governance,,2,
PHS121,Introductory Physics II,,3,
PHS122,Introductory Physics III,,3,
PHS123,Introductory Practical Physics,,2,
PHS211,Classical Mechanics I,,2,
PHS213,Electricity & Magnetism,,2,
PHS224,Geometrical Optics,,2,
MAT121,Algebra & Coordinate Geometry,,3,
MAT213,Math Methods I,,3,Dr. Ganiu & Dr. Akinukawe
MAT223,Math Methods II,,3,Dr. Ganiu & Dr. Akinukawe
CHM121,Introductory Chemistry II,,3,
CHM211,Basic Inorganic Chemistry I,,2,
CHM212,Basic Physical Chemistry I,,2,
CHM213,Basic Organic Chemistry,,2,
CHM221,Basic Inorganic Chemistry II,,2,
CHM222,Basic Physical Chemistry II,,2,
SIW400,Industrial Work Experience,Industrial attachment in various geological/geophysical exploration companies.,6,
STA121,Statistics for Scientists,,3,
SVY217,Basic Environmental Surveying I,,2,
SVY227,Basic Environmental Surveying II,,2,
CSC212,Introduction to Computer Science,,3,
CSC225,Introduction to Computation Method,,3,
FRE135,French for Scientists & Professional Students,,2,
FRE146,French for Scientists & Professional Students,,2,
